id,fecha,hora,estado,estado_de_venta,cliente,dpi,combo_o_single,departamento,municipio,codigo_tv,codigo_velocidad,codigo_tel,equipo_adicional,direccion_instalacion,codigo_combo_o_single,costo_instalacion,motivo_de_rechazo,codigo_pago,numero_servicio,premium_adicionales,numero_anexo,cancelado,no_ot,plan,orden,msisdn,cancelada
1500065,2021-09-29 08:07:52.0,08:07,offer,PENDIENTE,"test user Name ",2413833071210,combo,,,647,,,647-Equipamiento mas lindo,,HH-HFC-L11,200,,,,380-HBO Max HD 2M-436-HBO Max HD-888-Paquete FSN HD-905-PAQUETE FOX+ HD,,,,HH-HFC-L11,1500065,,No
1500065,2021-09-29 08:07:52.0,08:07,offer,PENDIENTE,"test user Name ",2413833071210,combo,,,106,,,647-Equipamiento mas lindo,,HH-HFC-L11,200,,,,380-HBO Max HD 2M-436-HBO Max HD-888-Paquete FSN HD-905-PAQUETE FOX+ HD,,,,HH-HFC-L11,1500065,,No
1500182,2021-09-15 12:28:57.0,12:28,offer,PENDIENTE,"Shaine Maris Cruz Miranda ",FSD003,combo,GUATEMALA,,647,,,,,HH-HFC-L11,200,,,,17-Detalle de llamadas-380-HBO Max HD 2M,,,,HH-HFC-L11,1500182,,No
1500182,2021-09-15 12:28:57.0,12:28,offer,PENDIENTE,"Shaine Maris Cruz Miranda ",FSD003,combo,GUATEMALA,,106,,,,,HH-HFC-L11,200,,,,17-Detalle de llamadas-380-HBO Max HD 2M,,,,HH-HFC-L11,1500182,,No
1502664,2021-10-01 10:15:14.0,10:15,offer,PENDIENTE,"ODYSSEUS  JENNA CALDWELL JACOBS ",2358294550301,combo,GUATEMALA,,416,,,4101-STB TIVO LITE ZAPPER,3 CALLE 3-44 ZONA 1 GUATEMALA,HH-HFC-642,200,,,706326,161-Canal Region +-17-Detalle de llamadas-380-HBO Max HD 2M-436-HBO Max HD-815-TRIPARTITA-816-BUZON DE VOZ-817-DESVIO DE LLAMADA INCONDICIONAL-818-DESVIO DE LLAMADA OCUPADO-819-IDENTIFICADOR DE LLAMADA-820-LLAMADA EN ESPERA-821-TRANSFERENCIA DE LLAMADA,,,,HH-HFC-642,1502664,33124536,No
1502664,2021-10-01 10:15:14.0,10:15,offer,PENDIENTE,"ODYSSEUS  JENNA CALDWELL JACOBS ",2358294550301,combo,GUATEMALA,,449,,,4101-STB TIVO LITE ZAPPER,3 CALLE 3-44 ZONA 1 GUATEMALA,HH-HFC-642,200,,,706326,161-Canal Region +-17-Detalle de llamadas-380-HBO Max HD 2M-436-HBO Max HD-815-TRIPARTITA-816-BUZON DE VOZ-817-DESVIO DE LLAMADA INCONDICIONAL-818-DESVIO DE LLAMADA OCUPADO-819-IDENTIFICADOR DE LLAMADA-820-LLAMADA EN ESPERA-821-TRANSFERENCIA DE LLAMADA,,,,HH-HFC-642,1502664,33124536,No
1502962,2021-08-30 10:50:16.0,10:50,address,PENDIENTE,"ASJASHJA ROMERO ",3001594710101,single,,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1502962,,No
1502966,2021-08-30 11:37:53.0,11:37,address,PENDIENTE,"ASJASHJA ROMERO ",3001594710101,single,,,,,,,BOULEVARD 10 10-22 SAN FERNANDO,,,,,,,,,,,1502966,,No
1502967,2021-08-30 11:40:16.0,11:40,serviceAddress,PENDIENTE,"ANTONIO HERRERA GONZALEZ MASCULINO SEXO ",2198410550103,single,GUATEMALA,,,,,,BOULEVARD TEST,,,,,G08438,,,,,,1502967,,No
1502968,2021-08-30 17:41:04.0,17:41,created,PENDIENTE,"ANTONIO HERRERA GONZALEZ MASCULINO SEXO ",2198410550101,single,,,,,,,,,,,,,,,,,,1502968,,No
